M,S,1234,2588,1733
S,L,0,2588,2967
M,S,1234,1354,2967
S,L,0,1354,4201
M,S,1234,120,4201
S,L,0,120,5435
M,S,120,0,5435
L,M,120,4321,1114
M,S,1234,3207,1114
S,L,0,3207,2348
M,S,1234,1973,2348
S,L,0,1973,3582
M,S,1234,739,3582
S,L,0,739,4816
M,S,739,0,4816
L,M,739,4321,495
M,S,1234,3826,495
S,L,0,3826,1729
M,S,1234,2592,1729
S,L,0,2592,2963
M,S,1234,1358,2963
S,L,0,1358,4197
M,S,1234,124,4197
S,L,0,124,5431
M,S,124,0,5431
L,M,124,4321,1110
M,S,1234,3211,1110
S,L,0,3211,2344
M,S,1234,1977,2344
S,L,0,1977,3578
M,S,1234,743,3578
S,L,0,743,4812
M,S,743,0,4812
L,M,743,4321,491
M,S,1234,3830,491
S,L,0,3830,1725
M,S,1234,2596,1725
S,L,0,2596,2959
M,S,1234,1362,2959
S,L,0,1362,4193
M,S,1234,128,4193
S,L,0,128,5427
M,S,128,0,5427
L,M,128,4321,1106
M,S,1234,3215,1106
S,L,0,3215,2340
M,S,1234,1981,2340
S,L,0,1981,3574
M,S,1234,747,3574
S,L,0,747,4808
M,S,747,0,4808
L,M,747,4321,487
M,S,1234,3834,487
S,L,0,3834,1721
M,S,1234,2600,1721
S,L,0,2600,2955
M,S,1234,1366,2955
S,L,0,1366,4189
M,S,1234,132,4189
S,L,0,132,5423
M,S,132,0,5423
L,M,132,4321,1102
M,S,1234,3219,1102
S,L,0,3219,2336
M,S,1234,1985,2336
S,L,0,1985,3570
M,S,1234,751,3570
S,L,0,751,4804
M,S,751,0,4804
L,M,751,4321,483
M,S,1234,3838,483
S,L,0,3838,1717
M,S,1234,2604,1717
S,L,0,2604,2951
M,S,1234,1370,2951
S,L,0,1370,4185
M,S,1234,136,4185
S,L,0,136,5419
M,S,136,0,5419
L,M,136,4321,1098
M,S,1234,3223,1098
S,L,0,3223,2332
M,S,1234,1989,2332
S,L,0,1989,3566
M,S,1234,755,3566
S,L,0,755,4800
M,S,755,0,4800
L,M,755,4321,479
M,S,1234,3842,479
S,L,0,3842,1713
M,S,1234,2608,1713
S,L,0,2608,2947
M,S,1234,1374,2947
S,L,0,1374,4181
M,S,1234,140,4181
S,L,0,140,5415
M,S,140,0,5415
L,M,140,4321,1094
M,S,1234,3227,1094
S,L,0,3227,2328
M,S,1234,1993,2328
S,L,0,1993,3562
M,S,1234,759,3562
S,L,0,759,4796
M,S,759,0,4796
L,M,759,4321,475
M,S,1234,3846,475
S,L,0,3846,1709
M,S,1234,2612,1709
S,L,0,2612,2943
M,S,1234,1378,2943
S,L,0,1378,4177
M,S,1234,144,4177
S,L,0,144,5411
M,S,144,0,5411
L,M,144,4321,1090
M,S,1234,3231,1090
S,L,0,3231,2324
M,S,1234,1997,2324
S,L,0,1997,3558
M,S,1234,763,3558
S,L,0,763,4792
M,S,763,0,4792
L,M,763,4321,471
M,S,1234,3850,471
S,L,0,3850,1705
M,S,1234,2616,1705
S,L,0,2616,2939
M,S,1234,1382,2939
S,L,0,1382,4173
M,S,1234,148,4173
S,L,0,148,5407
M,S,148,0,5407
L,M,148,4321,1086
M,S,1234,3235,1086
S,L,0,3235,2320
M,S,1234,2001,2320
S,L,0,2001,3554
M,S,1234,767,3554
S,L,0,767,4788
M,S,767,0,4788
L,M,767,4321,467
M,S,1234,3854,467
S,L,0,3854,1701
M,S,1234,2620,1701
S,L,0,2620,2935
M,S,1234,1386,2935
S,L,0,1386,4169
M,S,1234,152,4169
S,L,0,152,5403
M,S,152,0,5403
L,M,152,4321,1082
M,S,1234,3239,1082
S,L,0,3239,2316
M,S,1234,2005,2316
S,L,0,2005,3550
M,S,1234,771,3550
S,L,0,771,4784
M,S,771,0,4784
L,M,771,4321,463
M,S,1234,3858,463
S,L,0,3858,1697
M,S,1234,2624,1697
S,L,0,2624,2931
M,S,1234,1390,2931
S,L,0,1390,4165
M,S,1234,156,4165
S,L,0,156,5399
M,S,156,0,5399
L,M,156,4321,1078
M,S,1234,3243,1078
S,L,0,3243,2312
M,S,1234,2009,2312
S,L,0,2009,3546
M,S,1234,775,3546
S,L,0,775,4780
M,S,775,0,4780
L,M,775,4321,459
M,S,1234,3862,459
S,L,0,3862,1693
M,S,1234,2628,1693
S,L,0,2628,2927
M,S,1234,1394,2927
S,L,0,1394,4161
M,S,1234,160,4161
S,L,0,160,5395
M,S,160,0,5395
L,M,160,4321,1074
M,S,1234,3247,1074
S,L,0,3247,2308
M,S,1234,2013,2308
S,L,0,2013,3542
M,S,1234,779,3542
S,L,0,779,4776
M,S,779,0,4776
L,M,779,4321,455
M,S,1234,3866,455
S,L,0,3866,1689
M,S,1234,2632,1689
S,L,0,2632,2923
M,S,1234,1398,2923
S,L,0,1398,4157
M,S,1234,164,4157
S,L,0,164,5391
M,S,164,0,5391
L,M,164,4321,1070
M,S,1234,3251,1070
S,L,0,3251,2304
M,S,1234,2017,2304
S,L,0,2017,3538
M,S,1234,783,3538
S,L,0,783,4772
M,S,783,0,4772
L,M,783,4321,451
M,S,1234,3870,451
S,L,0,3870,1685
M,S,1234,2636,1685
S,L,0,2636,2919
M,S,1234,1402,2919
S,L,0,1402,4153
M,S,1234,168,4153
S,L,0,168,5387
M,S,168,0,5387
L,M,168,4321,1066
M,S,1234,3255,1066
S,L,0,3255,2300
M,S,1234,2021,2300
S,L,0,2021,3534
M,S,1234,787,3534
S,L,0,787,4768
M,S,787,0,4768
L,M,787,4321,447
M,S,1234,3874,447
S,L,0,3874,1681
M,S,1234,2640,1681
S,L,0,2640,2915
M,S,1234,1406,2915
S,L,0,1406,4149
M,S,1234,172,4149
S,L,0,172,5383
M,S,172,0,5383
L,M,172,4321,1062
M,S,1234,3259,1062
S,L,0,3259,2296
M,S,1234,2025,2296
S,L,0,2025,3530
M,S,1234,791,3530
S,L,0,791,4764
M,S,791,0,4764
L,M,791,4321,443
M,S,1234,3878,443
S,L,0,3878,1677
M,S,1234,2644,1677
S,L,0,2644,2911
M,S,1234,1410,2911
S,L,0,1410,4145
M,S,1234,176,4145
S,L,0,176,5379
M,S,176,0,5379
L,M,176,4321,1058
M,S,1234,3263,1058
S,L,0,3263,2292
M,S,1234,2029,2292
S,L,0,2029,3526
M,S,1234,795,3526
S,L,0,795,4760
M,S,795,0,4760
L,M,795,4321,439
M,S,1234,3882,439
S,L,0,3882,1673
M,S,1234,2648,1673
S,L,0,2648,2907
M,S,1234,1414,2907
S,L,0,1414,4141
M,S,1234,180,4141
S,L,0,180,5375
M,S,180,0,5375
L,M,180,4321,1054
M,S,1234,3267,1054
S,L,0,3267,2288
M,S,1234,2033,2288
S,L,0,2033,3522
M,S,1234,799,3522
S,L,0,799,4756
M,S,799,0,4756
L,M,799,4321,435
M,S,1234,3886,435
S,L,0,3886,1669
M,S,1234,2652,1669
S,L,0,2652,2903
M,S,1234,1418,2903
S,L,0,1418,4137
M,S,1234,184,4137
S,L,0,184,5371
M,S,184,0,5371
L,M,184,4321,1050
M,S,1234,3271,1050
S,L,0,3271,2284
M,S,1234,2037,2284
S,L,0,2037,3518
M,S,1234,803,3518
S,L,0,803,4752
M,S,803,0,4752
L,M,803,4321,431
M,S,1234,3890,431
S,L,0,3890,1665
M,S,1234,2656,1665
S,L,0,2656,2899
M,S,1234,1422,2899
S,L,0,1422,4133
M,S,1234,188,4133
S,L,0,188,5367
M,S,188,0,5367
L,M,188,4321,1046
M,S,1234,3275,1046
S,L,0,3275,2280
M,S,1234,2041,2280
S,L,0,2041,3514
M,S,1234,807,3514
S,L,0,807,4748
M,S,807,0,4748
L,M,807,4321,427
M,S,1234,3894,427
S,L,0,3894,1661
M,S,1234,2660,1661
S,L,0,2660,2895
M,S,1234,1426,2895
S,L,0,1426,4129
M,S,1234,192,4129
S,L,0,192,5363
M,S,192,0,5363
L,M,192,4321,1042
M,S,1234,3279,1042
S,L,0,3279,2276
M,S,1234,2045,2276
S,L,0,2045,3510
M,S,1234,811,3510
S,L,0,811,4744
M,S,811,0,4744
L,M,811,4321,423
M,S,1234,3898,423
S,L,0,3898,1657
M,S,1234,2664,1657
S,L,0,2664,2891
M,S,1234,1430,2891
S,L,0,1430,4125
M,S,1234,196,4125
S,L,0,196,5359
M,S,196,0,5359
L,M,196,4321,1038
M,S,1234,3283,1038
S,L,0,3283,2272
M,S,1234,2049,2272
S,L,0,2049,3506
M,S,1234,815,3506
S,L,0,815,4740
M,S,815,0,4740
L,M,815,4321,419
M,S,1234,3902,419
S,L,0,3902,1653
M,S,1234,2668,1653
S,L,0,2668,2887
M,S,1234,1434,2887
S,L,0,1434,4121
M,S,1234,200,4121
S,L,0,200,5355
M,S,200,0,5355
L,M,200,4321,1034
M,S,1234,3287,1034
S,L,0,3287,2268
M,S,1234,2053,2268
S,L,0,2053,3502
M,S,1234,819,3502
S,L,0,819,4736
M,S,819,0,4736
L,M,819,4321,415
M,S,1234,3906,415
S,L,0,3906,1649
M,S,1234,2672,1649
S,L,0,2672,2883
M,S,1234,1438,2883
S,L,0,1438,4117
M,S,1234,204,4117
S,L,0,204,5351
M,S,204,0,5351
L,M,204,4321,1030
M,S,1234,3291,1030
S,L,0,3291,2264
M,S,1234,2057,2264
S,L,0,2057,3498
M,S,1234,823,3498
S,L,0,823,4732
M,S,823,0,4732
L,M,823,4321,411
M,S,1234,3910,411
S,L,0,3910,1645
M,S,1234,2676,1645
S,L,0,2676,2879
M,S,1234,1442,2879
S,L,0,1442,4113
M,S,1234,208,4113
S,L,0,208,5347
M,S,208,0,5347
L,M,208,4321,1026
M,S,1234,3295,1026
S,L,0,3295,2260
M,S,1234,2061,2260
S,L,0,2061,3494
M,S,1234,827,3494
S,L,0,827,4728
M,S,827,0,4728
L,M,827,4321,407
M,S,1234,3914,407
S,L,0,3914,1641
M,S,1234,2680,1641
